departure_time,boardingtime,domestic_international,aircraft_wing_span,passengers,based_aircraft,coached_1_0,flight_code,B_min,D_min,Hour,assigned_gate,is_coached_model
08:07,07:26,International,35.7,113,Yes,0,AFR-8802R,446,487,7,27,0
08:09,07:22,International,60.1,293,No,0,IBE-7091R,442,489,7,26,0
08:15,07:44,International,27.6,49,No,0,WZZ-4150U,464,495,7,6,0
08:17,07:31,International,36.2,116,No,0,WZZ-7306C,451,497,7,23,0
08:19,07:42,International,36.1,96,No,0,RYR-2367E,462,499,7,28,0
08:23,07:35,International,35.8,88,Yes,0,DLH-6778K,455,503,7,22,0
08:23,07:33,International,60.3,268,Yes,0,SAS-0420Y,453,503,7,95,0
08:26,07:39,International,60.2,275,Yes,0,DLH-8918X,459,506,7,9,0
08:27,07:38,International,60.4,285,No,0,AFR-0575M,458,507,7,24,0
08:31,08:01,International,28.6,82,No,0,AFR-2191T,481,511,8,20,0
08:36,07:46,Domestic,59.9,245,No,1,FIN-7122E,466,516,7,5,0
08:36,07:52,International,27.2,110,No,0,AFR-5455K,472,516,7,17,0
08:38,08:06,International,26.0,69,No,0,RYR-7805A,486,518,8,90,0
08:38,07:44,Domestic,60.3,257,No,1,FIN-0759Y,464,518,7,11,0
08:39,07:49,International,33.9,113,Yes,1,BAW-4008E,469,519,7,15,0
08:43,08:01,International,27.1,83,No,0,THY-4298Y,481,523,8,19,0
08:45,08:06,Domestic,28.6,67,No,0,RYR-2783J,486,525,8,10,0
08:45,08:03,International,35.8,76,No,0,DLH-6598W,483,525,8,4,0
08:45,07:57,Domestic,35.9,117,No,0,RYR-5041V,477,525,7,98,0
08:49,07:52,International,60.6,260,No,1,IBE-7118V,472,529,7,30,0
08:51,08:17,Domestic,28.7,116,No,1,DLH-8131D,497,531,8,7,0
08:53,08:28,International,25.8,54,No,0,THY-2606N,508,533,8,3,0
08:56,08:14,International,34.0,72,No,0,IBE-8021O,494,536,8,93,0
08:56,08:12,International,26.1,117,No,0,TUI-1519I,492,536,8,2,0
08:59,08:18,International,27.0,50,No,0,DLH-5611A,498,539,8,18,0
08:59,08:14,International,26.8,128,Yes,0,WZZ-5676I,494,539,8,97,0
09:02,08:02,International,60.0,235,No,1,TUI-1502H,482,542,8,94,0
09:02,08:34,International,26.0,101,No,0,FIN-8141O,514,542,8,92,0
09:02,08:21,Domestic,34.0,86,Yes,0,WZZ-9628L,501,542,8,29,0
09:03,08:31,International,27.0,88,No,0,IBE-5519L,511,543,8,91,0
09:07,08:26,International,27.1,76,No,0,TUI-5269D,506,547,8,25,0
09:13,08:31,International,60.5,251,No,1,THY-8033I,511,553,8,21,0
09:16,08:29,International,60.4,287,No,0,TUI-4953H,509,556,8,99,0
09:16,08:30,Domestic,29.1,76,Yes,0,WZZ-0845B,510,556,8,13,0
09:18,08:16,International,60.3,330,No,0,RYR-0300S,496,558,8,12,0
09:22,08:36,International,35.8,119,No,0,EZY-4236P,516,562,8,96,0
09:28,08:42,International,36.1,72,No,1,FIN-0978E,522,568,8,8,0
09:29,08:55,International,34.4,48,No,0,TUI-2040R,535,569,8,100,0
09:34,08:52,International,25.5,62,No,0,IBE-6332O,532,574,8,27,0
09:37,08:49,International,27.5,75,No,0,SAS-1086T,529,577,8,16,0
09:39,08:58,International,35.5,62,Yes,0,FIN-1430F,538,579,8,1,0
09:40,09:11,Domestic,35.9,90,Yes,1,AFR-9829P,551,580,9,24,0
09:43,08:57,Domestic,35.9,48,No,0,AFR-1266V,537,583,8,14,0
09:43,09:04,International,35.9,72,No,0,FIN-3341N,544,583,9,95,0
09:44,08:57,International,35.5,93,No,0,BAW-1269B,537,584,8,6,0
09:44,09:06,International,33.9,103,No,0,WZZ-7295D,546,584,9,26,0
09:47,09:15,International,26.9,69,No,0,IBE-8947P,555,587,9,98,0
09:57,09:07,Domestic,27.0,37,Yes,0,KLM-9991I,547,597,9,22,0
10:00,09:18,Domestic,34.1,58,No,0,SAS-9719A,558,600,9,15,0
10:05,09:08,International,64.8,285,No,0,IBE-7345I,548,605,9,28,0
10:14,09:36,International,34.3,78,No,0,RYR-7800L,576,614,9,7,0
10:40,10:11,International,25.9,20,No,0,KLM-6844W,611,640,10,30,0
10:47,10:10,International,27.4,114,No,0,IBE-0701O,610,647,10,5,0
10:50,09:50,International,35.9,103,No,0,DLH-8531A,590,650,9,9,0
11:15,10:27,International,65.1,288,No,1,IBE-6027T,627,675,10,27,0
11:17,10:43,International,26.7,77,No,0,IBE-2246J,643,677,10,97,0
11:19,10:47,International,26.7,55,No,1,FIN-4020W,647,679,10,12,0
11:47,11:06,International,34.5,124,Yes,0,TUI-1958O,666,707,11,2,0
12:11,11:34,International,36.2,108,Yes,0,WZZ-8437W,694,731,11,93,0
12:34,11:58,International,36.3,110,No,0,AFR-9131E,718,754,11,95,0
13:03,12:33,International,26.0,48,No,0,BAW-1243I,753,783,12,21,0
13:41,13:11,International,26.2,118,No,0,EZY-4734X,791,821,13,96,0
13:51,13:12,International,36.0,79,No,0,BAW-7416R,792,831,13,23,0
14:01,13:22,International,27.0,51,No,0,AFR-5372G,802,841,13,19,0
14:03,13:22,International,35.6,111,Yes,0,EZY-5313X,802,843,13,2,0
14:06,13:31,International,27.0,50,No,0,FIN-2592P,811,846,13,5,0
14:09,13:34,Domestic,34.3,89,No,0,RYR-7313D,814,849,13,4,0
14:12,13:30,International,60.3,308,Yes,1,FIN-2629C,810,852,13,15,0
14:17,13:35,International,27.2,56,No,0,DLH-1415K,815,857,13,18,0
14:40,13:56,International,64.6,245,No,0,AFR-8964B,836,880,13,25,0
14:41,13:55,Domestic,60.1,270,No,0,THY-1580N,835,881,13,28,0
14:43,14:01,International,36.0,54,No,0,BAW-5006A,841,883,14,94,0
14:47,14:06,International,33.8,84,Yes,0,DLH-2485H,846,887,14,16,0
14:52,13:54,International,60.1,269,No,1,BAW-1393T,834,892,13,98,0
14:53,14:22,International,25.9,100,Yes,0,BAW-3904O,862,893,14,90,0
15:05,14:26,International,64.9,327,No,1,AFR-4812V,866,905,14,92,0
15:17,14:27,Domestic,60.1,278,No,0,FIN-7051W,867,917,14,93,0
15:17,14:35,International,36.0,81,No,0,AFR-1847H,875,917,14,12,0
15:22,14:43,International,26.0,99,No,0,WZZ-0459V,883,922,14,23,0
15:29,14:54,International,26.1,60,No,0,THY-0903T,894,929,14,20,0
15:34,14:58,International,27.0,82,No,0,TUI-5872H,898,934,14,14,0
15:39,14:40,International,64.9,343,No,0,FIN-2340U,880,939,14,100,0
15:48,15:09,International,35.7,125,No,0,AFR-0646S,909,948,15,91,0
15:51,15:23,International,28.2,60,Yes,0,THY-6907F,923,951,15,30,0
15:52,15:00,Domestic,35.7,80,No,0,IBE-8321I,900,952,15,18,0
15:54,15:08,International,34.2,86,No,0,WZZ-5649Z,908,954,15,19,0
15:54,15:08,International,35.2,110,Yes,0,TUI-6611Z,908,954,15,22,0
16:01,15:08,International,59.9,306,No,1,IBE-2124O,908,961,15,1,0
16:01,15:08,International,28.6,92,No,0,FIN-6186D,908,961,15,17,0
16:02,15:11,International,64.8,307,Yes,0,SAS-3726U,911,962,15,4,0
16:03,15:26,International,35.6,115,No,0,FIN-6789D,926,963,15,29,0
16:07,15:23,Domestic,34.1,74,Yes,0,RYR-1692H,923,967,15,27,0
16:20,15:31,Domestic,60.4,290,No,0,IBE-6966S,931,980,15,94,0
16:28,15:50,International,34.0,66,No,0,SAS-6786I,950,988,15,13,0
16:37,16:01,International,34.2,120,Yes,0,TUI-6042D,961,997,16,93,0
16:53,15:57,International,65.0,325,No,1,WZZ-3209D,957,1013,15,11,0
16:55,16:24,Domestic,27.6,50,Yes,0,EZY-0928Z,984,1015,16,97,0
16:57,16:14,International,28.3,123,Yes,0,RYR-9180G,974,1017,16,3,0
16:57,16:12,International,60.1,285,No,0,SAS-0146I,972,1017,16,8,0
17:00,16:18,International,34.7,96,No,0,RYR-0522E,978,1020,16,15,0
17:01,16:18,International,34.3,103,No,0,EZY-2954I,978,1021,16,26,0
17:03,16:11,Domestic,33.9,87,No,0,RYR-7902O,971,1023,16,90,0
17:07,16:31,International,29.0,127,Yes,0,SAS-0810X,991,1027,16,16,0
17:09,16:15,International,64.6,287,No,1,AFR-6680N,975,1029,16,20,0
17:10,16:07,Domestic,65.1,234,No,0,KLM-2530C,967,1030,16,23,0
17:11,16:36,International,34.1,80,No,0,KLM-6340T,996,1031,16,91,0
17:11,16:19,International,59.9,298,No,0,RYR-9133X,979,1031,16,14,0
17:18,16:38,International,35.5,62,No,0,AFR-6632N,998,1038,16,22,0
17:26,16:53,International,36.2,90,No,0,BAW-7870C,1013,1046,16,100,0
17:29,17:03,International,35.7,98,Yes,0,THY-6205Z,1023,1049,17,24,0
17:45,17:00,International,34.1,85,No,0,KLM-2102N,1020,1065,17,96,0
17:58,17:20,International,29.2,106,No,0,THY-0942J,1040,1078,17,18,0
18:04,17:12,International,59.8,352,Yes,0,AFR-3774D,1032,1084,17,6,0
18:04,17:24,International,28.7,76,No,0,SAS-3805Z,1044,1084,17,29,0
18:07,17:32,International,26.0,55,No,0,SAS-9221A,1052,1087,17,17,0
18:07,17:20,International,60.1,265,No,0,THY-5162K,1040,1087,17,9,0
18:21,17:33,Domestic,28.7,55,No,0,DLH-1240E,1053,1101,17,5,0
18:26,17:25,International,64.1,326,Yes,0,AFR-5685F,1045,1106,17,19,0
18:33,17:56,International,28.2,67,No,0,SAS-1491B,1076,1113,17,14,0
18:47,18:13,Domestic,33.7,55,No,0,WZZ-7359V,1093,1127,18,23,0
19:04,18:18,International,26.4,94,No,0,IBE-1964L,1098,1144,18,7,0
19:06,18:31,Domestic,26.2,27,No,0,IBE-5153B,1111,1146,18,20,0
19:12,18:26,International,35.9,65,No,1,WZZ-3560Y,1106,1152,18,25,0
19:18,18:33,International,34.0,81,No,0,AFR-7155F,1113,1158,18,18,0
19:25,18:37,International,34.2,82,No,0,FIN-5902C,1117,1165,18,94,0
19:27,18:46,International,25.7,94,Yes,1,RYR-5229S,1126,1167,18,98,0
19:35,19:05,International,25.9,78,No,0,RYR-6736A,1145,1175,19,100,0
19:40,19:04,Domestic,28.9,58,No,0,THY-6028C,1144,1180,19,96,0
19:45,19:15,International,26.3,63,Yes,0,IBE-1388M,1155,1185,19,90,0
19:55,19:21,International,35.5,120,Yes,0,RYR-8463U,1161,1195,19,30,0
19:56,19:04,International,36.2,54,Yes,0,KLM-2519H,1144,1196,19,92,0
19:56,19:17,Domestic,35.9,88,Yes,0,FIN-1334F,1157,1196,19,12,0
20:06,19:06,International,64.9,290,No,0,SAS-5395U,1146,1206,19,3,0
20:10,19:33,Domestic,28.7,75,Yes,0,WZZ-4600S,1173,1210,19,6,0
20:12,19:41,International,34.1,108,Yes,0,EZY-1032L,1181,1212,19,91,0
20:17,19:34,Domestic,35.6,98,No,0,SAS-9833Q,1174,1217,19,95,0
20:26,19:46,International,26.0,70,No,0,EZY-7468Z,1186,1226,19,23,0
20:27,19:34,International,60.0,259,No,0,EZY-7481D,1174,1227,19,16,0
20:28,19:59,International,28.5,96,Yes,0,EZY-4159W,1199,1228,19,20,0
20:31,19:51,International,27.4,85,No,0,KLM-6208J,1191,1231,19,22,0
20:45,20:01,International,26.2,112,No,0,FIN-5582C,1201,1245,20,97,0
20:48,20:13,Domestic,28.2,28,No,0,THY-9974E,1213,1248,20,26,0
20:55,20:20,Domestic,28.7,75,No,0,WZZ-6521E,1220,1255,20,11,0
20:57,20:09,International,60.1,269,Yes,0,KLM-2193V,1209,1257,20,99,0
21:00,20:15,International,64.4,276,Yes,0,EZY-6040J,1215,1260,20,90,0
21:03,20:28,International,33.9,117,No,0,TUI-3811E,1228,1263,20,5,0
21:05,20:22,Domestic,34.8,90,No,0,IBE-8726B,1222,1265,20,17,0
21:05,20:15,International,64.6,308,No,1,DLH-2627F,1215,1265,20,13,0
21:11,20:30,International,34.1,155,No,0,BAW-7270B,1230,1271,20,2,0
21:15,20:37,International,26.3,53,No,0,SAS-4768Y,1237,1275,20,24,0
21:17,20:28,International,27.5,68,Yes,0,AFR-3278L,1228,1277,20,7,0
21:18,20:21,International,65.0,277,No,0,DLH-8339Q,1221,1278,20,10,0
21:23,20:54,International,26.2,86,No,0,BAW-4196B,1254,1283,20,15,0
21:28,20:35,International,64.6,284,No,0,IBE-2142J,1235,1288,20,18,0
21:28,20:54,International,36.0,100,No,0,BAW-7267C,1254,1288,20,4,0
21:36,20:51,International,35.9,111,No,0,DLH-0972M,1251,1296,20,8,0
21:54,21:00,International,60.6,301,No,1,TUI-0561K,1260,1314,21,21,0
21:56,21:12,International,35.8,54,No,0,BAW-0727J,1272,1316,21,30,0
21:57,21:26,International,27.2,90,Yes,0,AFR-0186C,1286,1317,21,6,0
22:32,21:51,International,33.8,116,No,0,THY-8747N,1311,1352,21,24,0
22:34,21:52,International,36.0,106,Yes,0,TUI-6978U,1312,1354,21,27,0
